gameid,league,split,playoffs,game,patch,blue_team,red_team,blue_ban1,blue_ban2,blue_ban3,blue_ban4,blue_ban5,red_ban1,red_ban2,red_ban3,red_ban4,red_ban5,blue_pick1,blue_pick2,blue_pick3,blue_pick4,blue_pick5,red_pick1,red_pick2,red_pick3,red_pick4,red_pick5,blue_win
6336-8093,LDL,Summer,0,2,10.12,optical spectrum E-sports,LinGan e-Sports,Draven,Kalista,LeBlanc,Kassadin,Sylas,Vladimir,Graves,Varus,Ezreal,Kai'Sa,Renekton,Nidalee,Ekko,Ashe,Braum,Ornn,Trundle,Zoe,Aphelios,Bard,0
ESPORTSTMNT05/1510544,TRA,Summer,0,1,10.12,Beşiktaş Academy,SuperMassive Academy,Yuumi,Sett,Graves,Orianna,Karma,Syndra,Kalista,Aphelios,Ornn,Azir,Camille,Trundle,Viktor,Ezreal,Thresh,Renekton,Olaf,LeBlanc,Kog'Maw,Lulu,0
ESPORTSTMNT05/1510545,LEC,Summer,0,1,10.12,Excel Esports,FC Schalke 04 Esports,Ornn,Azir,Yuumi,Malphite,Maokai,Varus,Syndra,Aphelios,Blitzcrank,Nautilus,Wukong,Volibear,Twisted Fate,Kalista,Rakan,Gangplank,Trundle,Orianna,Ashe,Thresh,1
ESPORTSTMNT05/1510546,TRA,Summer,0,1,10.12,5 Ronin Academy,Team AURORA Academy,Kalista,Miss Fortune,Wukong,Renekton,Volibear,Lee Sin,Varus,Syndra,Kennen,Ornn,Fiora,Nidalee,Cassiopeia,Aphelios,Lulu,Urgot,Graves,Zoe,Ezreal,Karma,0
ESPORTSTMNT05/1520560,LEC,Summer,0,1,10.12,Team Vitality,Misfits Gaming,Thresh,Yuumi,Sett,Wukong,Jax,Varus,Syndra,Kalista,Renekton,Braum,Volibear,Trundle,Corki,Aphelios,Tahm Kench,Kayle,Lee Sin,Azir,Ezreal,Leona,0
ESPORTSTMNT05/1510549,TRA,Summer,0,1,10.12,1907 Fenerbahçe Academy,Royal Youth Academy,Trundle,Varus,Sett,Zoe,Cassiopeia,Volibear,Aphelios,Gragas,Mordekaiser,Lee Sin,Aatrox,Elise,Syndra,Kalista,Nautilus,Wukong,Shaco,Orianna,Ezreal,Thresh,0
ESPORTSTMNT05/1520564,LEC,Summer,0,1,10.12,G2 Esports,SK Gaming,Trundle,Sett,Ezreal,Volibear,Ornn,Varus,Syndra,Twisted Fate,Zoe,Orianna,Akali,Rek'Sai,Kassadin,Kalista,Nautilus,Renekton,Gragas,Azir,Aphelios,Thresh,0
ESPORTSTMNT05/1510551,TRA,Summer,0,1,10.12,Galakticos Academy,Dark Passage Academy,Karthus,Camille,Sett,Zoe,Cassiopeia,Aphelios,Syndra,Tahm Kench,LeBlanc,Malphite,Mordekaiser,Jarvan IV,Azir,Ezreal,Karma,Aatrox,Trundle,Orianna,Kalista,Thresh,0
ESPORTSTMNT02/1384619,LCS.A,Summer,0,1,10.12,CLG Academy,100 Thieves Academy,Kalista,Ezreal,Karma,Vladimir,Jayce,Varus,Ornn,Trundle,Nautilus,Thresh,Gangplank,Karthus,Syndra,Aphelios,Pyke,Aatrox,Graves,LeBlanc,Ziggs,Bard,0
ESPORTSTMNT02/1384620,LCS.A,Summer,0,1,10.12,Dignitas Academy,Team Liquid Academy,Trundle,Olaf,Varus,Galio,Yuumi,Graves,Syndra,Kalista,Azir,Twisted Fate,Sett,Rek'Sai,LeBlanc,Aphelios,Thresh,Volibear,Lee Sin,Corki,Ezreal,Karma,1
ESPORTSTMNT05/1510554,LEC,Summer,0,1,10.12,MAD Lions,Origen,Gangplank,Yuumi,Varus,Olaf,Malphite,Lee Sin,Syndra,Thresh,Taric,Ornn,Mordekaiser,Volibear,Orianna,Kalista,Alistar,Kayle,Sett,Twisted Fate,Aphelios,Nautilus,1
ESPORTSTMNT05/1520575,LEC,Summer,0,1,10.12,Fnatic,Rogue,Yuumi,Trundle,Orianna,Azir,Corki,Syndra,Varus,Blitzcrank,Wukong,Ziggs,Ornn,Volibear,Karma,Aphelios,Tahm Kench,Gangplank,Olaf,Ryze,Kalista,Thresh,0
ESPORTSTMNT02/1384652,LCS.A,Summer,0,1,10.12,Cloud9 Academy,Immortals Academy,Ezreal,Trundle,Twisted Fate,Urgot,Nocturne,Kalista,Varus,Syndra,Graves,Jayce,Camille,Volibear,Orianna,Aphelios,Lulu,Aatrox,Olaf,Azir,Miss Fortune,Yuumi,1
ESPORTSTMNT02/1384654,LCS.A,Summer,0,1,10.12,Golden Guardians Academy,FlyQuest Academy,Ornn,Kalista,Syndra,Kassadin,Corki,Varus,Aphelios,Volibear,Nautilus,Jayce,Gangplank,Nidalee,Twisted Fate,Ezreal,Rakan,Sett,Trundle,Azir,Sivir,Yuumi,1
ESPORTSTMNT02/1384656,LCS.A,Summer,0,1,10.12,TSM Academy,Evil Geniuses Academy,Rumble,Yuumi,Trundle,Irelia,Twisted Fate,Varus,Kalista,Aphelios,Aatrox,LeBlanc,Ornn,Graves,Zoe,Ezreal,Nautilus,Sett,Volibear,Orianna,Senna,Karma,1
ESPORTSTMNT02/1394597,LCS,Summer,0,1,10.12,FlyQuest,Counter Logic Gaming,Volibear,Twisted Fate,Yuumi,Ekko,LeBlanc,Varus,Trundle,Ornn,Rakan,Thresh,Sett,Graves,Syndra,Aphelios,Pantheon,Jayce,Jarvan IV,Galio,Ezreal,Bard,1
ESPORTSTMNT02/1394605,LCS,Summer,0,1,10.12,Team Liquid,Cloud9,Yuumi,Olaf,Volibear,Nocturne,Galio,Varus,Syndra,Blitzcrank,Ezreal,Kalista,Aatrox,Graves,Twisted Fate,Kai'Sa,Nautilus,Sett,Lee Sin,Zoe,Cassiopeia,Thresh,0
6338-8095,LDL,Summer,0,1,10.12,Bilibili Gaming Junior,FunPlus Phoenix Blaze,Syndra,Ezreal,Renekton,Lucian,Mordekaiser,Thresh,Sett,Varus,Jayce,Braum,Wukong,Lee Sin,Galio,Aphelios,Taric,Hecarim,Nidalee,Pantheon,Kalista,Nautilus,0
ESPORTSTMNT02/1384772,OPL,Split 2,0,1,10.12,Chiefs Esports Club,Pentanet.GG,Aphelios,Kalista,Ezreal,Trundle,Kayn,Yuumi,Varus,Graves,Kindred,Gangplank,Ornn,Lee Sin,Azir,Senna,Karma,Akali,Sett,Kassadin,Ashe,Thresh,0
6338-8096,LDL,Summer,0,2,10.12,Bilibili Gaming Junior,FunPlus Phoenix Blaze,Syndra,Kalista,Renekton,Pantheon,Mordekaiser,Thresh,Sett,Varus,Fiddlesticks,Twisted Fate,Maokai,Lee Sin,Orianna,Aphelios,Nautilus,Ornn,Nidalee,Jayce,Ezreal,Leona,0
ESPORTSTMNT02/1384780,LCK,Summer,0,1,10.12,SeolHaeOne Prince,Gen.G,Azir,Kalista,Sett,Galio,LeBlanc,Varus,Karma,Ezreal,Nautilus,Thresh,Mordekaiser,Rek'Sai,Syndra,Aphelios,Lulu,Ornn,Trundle,Taliyah,Ashe,Braum,0
ESPORTSTMNT02/1384786,OPL,Split 2,0,1,10.12,Avant Gaming,MAMMOTH,Pantheon,Yasuo,Yuumi,Neeko,Lee Sin,Varus,Syndra,Karma,Orianna,Taliyah,Volibear,Graves,Zoe,Aphelios,Nautilus,Kayle,Sett,Twisted Fate,Kalista,Thresh,1
6340-8099,LDL,Summer,0,1,10.12,Young Miracles,EDG Youth Team,Gragas,Elise,Wukong,LeBlanc,Aatrox,Zoe,Aphelios,Varus,Renekton,Pantheon,Gangplank,Nunu & Willump,Sett,Kalista,Leona,Vladimir,Trundle,Jayce,Kai'Sa,Nautilus,1
6339-8097,LDL,Summer,0,1,10.12,LNG Academy,Shu Dai Xiong Gaming,Senna,Kalista,Graves,Syndra,Ornn,Karma,Nidalee,LeBlanc,Mordekaiser,Wukong,Renekton,Lee Sin,Twisted Fate,Aphelios,Leona,Gangplank,Trundle,Zoe,Ashe,Sett,0
ESPORTSTMNT02/1384796,OPL,Split 2,0,1,10.12,Gravitas,ORDER,Twisted Fate,Kalista,Graves,Sett,Thresh,Varus,Lee Sin,Trundle,Lulu,Karma,Ornn,Olaf,Akali,Aphelios,Yuumi,Kled,Nidalee,Sylas,Ezreal,Bard,0
6340-8100,LDL,Summer,0,2,10.12,Young Miracles,EDG Youth Team,Gragas,Elise,Wukong,Nidalee,Vladimir,Nunu & Willump,Varus,Zoe,Ekko,Mordekaiser,Gangplank,Sett,LeBlanc,Aphelios,Leona,Jayce,Olaf,Kassadin,Kai'Sa,Thresh,1
ESPORTSTMNT02/1384809,OPL,Split 2,0,1,10.12,Dire Wolves,Legacy Esports,Karma,Kalista,Ornn,Galio,Aatrox,Varus,Syndra,Aphelios,Orianna,Azir,Sion,Lee Sin,Zoe,Ezreal,Lulu,Wukong,Graves,Twisted Fate,Miss Fortune,Yuumi,0
6339-8098,LDL,Summer,0,2,10.12,Shu Dai Xiong Gaming,LNG Academy,Karma,Nidalee,Graves,Syndra,LeBlanc,Senna,Kalista,Sett,Yuumi,Thresh,Mordekaiser,Trundle,Zoe,Ezreal,Pantheon,Camille,Jarvan IV,Galio,Aphelios,Leona,1
ESPORTSTMNT02/1384813,LCK,Summer,0,2,10.12,Gen.G,SeolHaeOne Prince,Qiyana,Pantheon,Yuumi,Ornn,Syndra,Varus,Kalista,Sett,LeBlanc,Azir,Karma,Lee Sin,Twisted Fate,Ezreal,Tahm Kench,Renekton,Trundle,Zoe,Aphelios,Nautilus,1
ESPORTSTMNT02/1394692,PCS,Summer,0,1,10.12,Hong Kong Attitude,Resurgence,Syndra,Karma,Yuumi,Wukong,Maokai,Zoe,Ezreal,Trundle,Azir,LeBlanc,Lucian,Olaf,Orianna,Varus,Thresh,Volibear,Graves,Cho'Gath,Senna,Nautilus,1
6342-8102,LDL,Summer,0,1,10.12,Suning-S,Joy Dream,Renekton,Yuumi,Sivir,Karma,Wukong,Zoe,Thresh,Varus,Rek'Sai,Lissandra,Jayce,Ekko,Pantheon,Aphelios,Nautilus,Ornn,Lee Sin,LeBlanc,Ezreal,Leona,1
6244-8101,LPL,Summer,0,1,10.12,Suning,Dominus Esports,Kalista,Nidalee,Ezreal,Ornn,Cassiopeia,Varus,Graves,Aphelios,Kassadin,Wukong,Aatrox,Trundle,Syndra,Ashe,Nautilus,Renekton,Rek'Sai,LeBlanc,Kai'Sa,Thresh,1
6341-8103,LDL,Summer,0,1,10.12,JingNetGame,LGD Gaming Young Team,Nocturne,Pantheon,Karma,Thresh,Nautilus,Syndra,LeBlanc,Zoe,Ornn,Mordekaiser,Kennen,Graves,Akali,Aphelios,Sett,Renekton,Nidalee,Qiyana,Varus,Braum,0
ESPORTSTMNT02/1384840,PCS,Summer,0,1,10.12,Berjaya Dragons,Liyab Esports,Kalista,Graves,Syndra,Yuumi,Renekton,Varus,Aphelios,Sett,LeBlanc,Twisted Fate,Mordekaiser,Trundle,Galio,Ezreal,Karma,Jayce,Nidalee,Zoe,Sivir,Braum,1
ESPORTSTMNT02/1394712,VCS,Summer,0,1,10.12,GAM Esports,Percent Esports,Kalista,Karma,Aphelios,Zoe,Yasuo,Senna,Varus,Syndra,Elise,Lee Sin,Wukong,Sylas,Jayce,Ezreal,Sett,Malphite,Nidalee,Lissandra,Draven,Thresh,0
6244-8104,LPL,Summer,0,2,10.12,Dominus Esports,Suning,Graves,LeBlanc,Ezreal,Renekton,Ekko,Varus,Kalista,Nidalee,Ornn,Leona,Wukong,Lee Sin,Syndra,Aphelios,Nautilus,Jax,Trundle,Zoe,Ashe,Thresh,1
6342-8105,LDL,Summer,0,2,10.12,Joy Dream,Suning-S,Zoe,Pantheon,Yuumi,Jayce,Rek'Sai,Renekton,Varus,LeBlanc,Lee Sin,Wukong,Ornn,Ekko,Zed,Aphelios,Nautilus,Syndra,Nidalee,Sett,Draven,Thresh,1
ESPORTSTMNT05/1510595,TCL,Summer,0,1,10.12,Team AURORA,Papara SuperMassive,Kalista,Ezreal,Varus,Thresh,Aatrox,Urgot,Twisted Fate,Aphelios,Miss Fortune,Ornn,Sett,Graves,Syndra,Sivir,Karma,Renekton,Trundle,Zoe,Ashe,Tahm Kench,0
ESPORTSTMNT02/1384863,LCK,Summer,0,1,10.12,DAMWON Gaming,KT Rolster,Kalista,Karma,Twisted Fate,Nautilus,Azir,Varus,Zoe,Syndra,Corki,Nidalee,Sett,Fiddlesticks,Jayce,Ezreal,Bard,Ornn,Trundle,Lulu,Aphelios,Yuumi,1
6341-8107,LDL,Summer,0,2,10.12,LGD Gaming Young Team,JingNetGame,LeBlanc,Syndra,Zoe,Olaf,Elise,Nocturne,Pantheon,Karma,Galio,Braum,Renekton,Graves,Cassiopeia,Varus,Thresh,Ornn,Lee Sin,Orianna,Aphelios,Sett,1
ESPORTSTMNT02/1394734,VCS,Summer,0,2,10.12,Percent Esports,GAM Esports,Senna,Karma,Ezreal,Elise,Nidalee,Varus,Syndra,Draven,Ornn,Wukong,Volibear,Trundle,Zoe,Aphelios,Bard,Renekton,Kayn,Twisted Fate,Kalista,Thresh,1
ESPORTSTMNT02/1384871,PCS,Summer,0,1,10.12,Hong Kong Attitude,PSG Talon,Syndra,Nidalee,Twisted Fate,Ornn,Renekton,Varus,Graves,Aphelios,LeBlanc,Zoe,Jayce,Lee Sin,Fiddlesticks,Ezreal,Karma,Malphite,Trundle,Azir,Miss Fortune,Yuumi,1
6244-8106,LPL,Summer,0,3,10.12,Suning,Dominus Esports,Kalista,Nidalee,Ezreal,Lee Sin,Jarvan IV,Varus,Graves,Aphelios,LeBlanc,Renekton,Jax,Trundle,Galio,Ashe,Bard,Wukong,Kindred,Syndra,Miss Fortune,Nautilus,1
6342-8108,LDL,Summer,0,3,10.12,Suning-S,Joy Dream,Renekton,Yuumi,LeBlanc,Wukong,Mordekaiser,Zoe,Thresh,Varus,Ekko,Nidalee,Jayce,Trundle,Akali,Aphelios,Leona,Rumble,Rek'Sai,Syndra,Miss Fortune,Nautilus,0
ESPORTSTMNT05/1520595,TCL,Summer,0,1,10.12,Galatasaray Esports,Royal Youth,Shaco,Wukong,Sett,Mordekaiser,Graves,Aphelios,Kalista,Syndra,Ekko,LeBlanc,Volibear,Karthus,Karma,Lucian,Braum,Aatrox,Trundle,Zoe,Ezreal,Thresh,1
ESPORTSTMNT02/1384878,LCK,Summer,0,2,10.12,KT Rolster,DAMWON Gaming,Jayce,Zoe,Syndra,Corki,Kayle,Varus,Karma,Ezreal,Rumble,Azir,Mordekaiser,Jarvan IV,Galio,Kalista,Taric,Sett,Trundle,Kassadin,Senna,Maokai,0
6245-8109,LPL,Summer,0,1,10.12,eStar,FunPlus Phoenix,Karma,Senna,Renekton,Corki,Kassadin,Varus,Aphelios,Wukong,Bard,Tahm Kench,Volibear,Lee Sin,Galio,Ezreal,Nautilus,Ornn,Graves,Orianna,Kalista,Sett,0
ESPORTSTMNT02/1394747,PCS,Summer,0,1,10.12,Machi Esports,J Team,Sett,Trundle,Sivir,Graves,Jarvan IV,Zoe,Ezreal,Varus,Mordekaiser,Ornn,Malphite,Lee Sin,Syndra,Kalista,Nautilus,Wukong,Kindred,Galio,Aphelios,Thresh,0
ESPORTSTMNT02/1394758,VCS,Summer,0,1,10.12,Team Secret,OverPower Esports,Lee Sin,Trundle,Karma,Irelia,Aatrox,Syndra,Varus,Thresh,Quinn,Twisted Fate,Volibear,Graves,Zoe,Ezreal,Braum,Renekton,Nidalee,Tristana,Aphelios,Nautilus,1
ESPORTSTMNT05/1520597,LCL,Summer,0,1,10.12,Gambit Esports,Elements Pro Gaming,Syndra,Rek'Sai,Ezreal,Orianna,Graves,Kalista,Varus,Aphelios,Trundle,,Wukong,Olaf,Akali,Senna,Thresh,Ornn,Sett,Kassadin,Ashe,Karma,1
ESPORTSTMNT05/1520598,TCL,Summer,0,1,10.12,Galakticos,1907 Fenerbahçe Esports,Volibear,Syndra,Varus,Kayle,Wukong,Graves,Kalista,Trundle,Jarvan IV,Azir,Ornn,Olaf,Orianna,Ezreal,Karma,Aatrox,Sett,Ekko,Sivir,Yuumi,1
ESPORTSTMNT02/1394776,VCS,Summer,0,2,10.12,OverPower Esports,Team Secret,Thresh,Renekton,Syndra,Zoe,Twisted Fate,Karma,Lee Sin,Varus,Trundle,Jarvan IV,Wukong,Nidalee,Ryze,Kai'Sa,Nautilus,Jax,Graves,Orianna,Aphelios,Braum,0
6245-8110,LPL,Summer,0,2,10.12,FunPlus Phoenix,eStar,Ornn,Wukong,Thresh,Sett,Shen,Varus,Karma,Senna,Corki,Renekton,Mordekaiser,Lee Sin,Kassadin,Aphelios,Leona,Volibear,Jarvan IV,Galio,Ezreal,Tahm Kench,1
ESPORTSTMNT02/1394784,PCS,Summer,0,1,10.12,ahq eSports Club,Alpha Esports,LeBlanc,Nidalee,Karma,Ornn,Sylas,Galio,Syndra,Zoe,Wukong,Aatrox,Mordekaiser,Kindred,Lissandra,Varus,Thresh,Renekton,Graves,Azir,Sivir,Yuumi,1
ESPORTSTMNT05/1510602,TCL,Summer,0,1,10.12,Beşiktaş Esports,İstanbul Wildcats,Wukong,Thresh,Syndra,Irelia,Camille,Trundle,Yasuo,Fiora,Ornn,Cho'Gath,Gnar,Sett,Corki,Aphelios,Sona,Volibear,Jarvan IV,Ekko,Ezreal,Yuumi,0
ESPORTSTMNT05/1520604,LCL,Summer,0,1,10.12,CrowCrowd,Vega Squadron,Wukong,Karma,Ezreal,Azir,Corki,Syndra,Aphelios,Varus,Thresh,Sett,Mordekaiser,Graves,Orianna,Kalista,Blitzcrank,Ornn,Trundle,Kassadin,Ashe,Tahm Kench,1
ESPORTSTMNT05/1510605,LEC,Summer,0,1,10.12,SK Gaming,Team Vitality,Kalista,Trundle,Thresh,Gragas,Sion,Varus,Syndra,Sett,Ezreal,Twitch,Ornn,Volibear,Azir,Miss Fortune,Yuumi,Maokai,Olaf,Corki,Aphelios,Lulu,0
ESPORTSTMNT05/1510609,TCL,Summer,0,1,10.12,5 Ronin,Dark Passage,Sett,Volibear,Kalista,Nautilus,Lulu,Taliyah,Kindred,Wukong,Tahm Kench,Braum,Camille,Graves,Azir,Varus,Thresh,Ornn,Lee Sin,Zoe,Aphelios,Blitzcrank,0
ESPORTSTMNT02/1394809,PCS,Summer,0,1,10.12,Nova Esports,J Team,Trundle,Volibear,Wukong,Kassadin,Ornn,Zoe,Orianna,Nidalee,Mordekaiser,LeBlanc,Renekton,Sett,Corki,Varus,Bard,Gangplank,Graves,Galio,Sivir,Nautilus,0
ESPORTSTMNT05/1520612,LCL,Summer,0,1,10.12,Dragon Army,Unicorns Of Love.CIS,Kalista,Thresh,Nidalee,Azir,Zoe,Syndra,Ezreal,Aphelios,Ornn,Malphite,Fiddlesticks,Karthus,Pantheon,Varus,Karma,Wukong,Lee Sin,Kassadin,Sivir,Bard,0
ESPORTSTMNT02/1394814,CBLOL,Split 2,0,1,10.12,paiN Gaming,Prodigy Esports,Senna,Syndra,Trundle,Elise,Galio,Kalista,Varus,Karma,Sivir,Ezreal,Renekton,Graves,Twisted Fate,Aphelios,Nautilus,Lucian,Volibear,Nocturne,Heimerdinger,Thresh,1
ESPORTSTMNT05/1520613,LEC,Summer,0,1,10.12,Excel Esports,Misfits Gaming,Azir,Aphelios,Ezreal,Malphite,Blitzcrank,Varus,Syndra,Kalista,Senna,Rakan,Wukong,Volibear,Twisted Fate,Kog'Maw,Thresh,Jax,Olaf,Orianna,Kai'Sa,Sett,0
ESPORTSTMNT05/1520617,LCL,Summer,0,1,10.12,One Breath Gaming,RoX,Wukong,Karma,Aphelios,Volibear,Yorick,Cassiopeia,Graves,Syndra,Kassadin,LeBlanc,Gangplank,Rek'Sai,Ekko,Varus,Thresh,Mordekaiser,Sett,Zoe,Kalista,Blitzcrank,1
ESPORTSTMNT05/1510613,LEC,Summer,0,1,10.12,Origen,FC Schalke 04 Esports,Azir,Kalista,Wukong,Ornn,Orianna,Varus,Yuumi,Thresh,Gangplank,Olaf,Renekton,Volibear,Syndra,Ezreal,Tahm Kench,Quinn,Trundle,LeBlanc,Aphelios,Nautilus,1
ESPORTSTMNT02/1394837,CBLOL,Split 2,0,1,10.12,INTZ,KaBuM! e-Sports,Senna,Syndra,Aphelios,Jax,Renekton,Varus,Olaf,Kalista,Wukong,LeBlanc,Volibear,Gragas,Orianna,Sivir,Yuumi,Ornn,Graves,Zoe,Ezreal,Karma,1
ESPORTSTMNT05/1520623,LEC,Summer,0,1,10.12,MAD Lions,Rogue,Yuumi,Thresh,Olaf,Quinn,Gangplank,Syndra,Orianna,Lee Sin,Volibear,Ornn,Renekton,Ivern,Azir,Senna,Wukong,Illaoi,Trundle,Ekko,Varus,Tahm Kench,1
ESPORTSTMNT02/1394860,CBLOL,Split 2,0,1,10.12,Flamengo Esports,Santos e-Sports,Ziggs,Vel'Koz,Syndra,Aatrox,Jax,Kalista,Varus,Aphelios,Elise,Taliyah,Renekton,Lee Sin,Twisted Fate,Ezreal,Nautilus,Hecarim,Wukong,Viktor,Ashe,Braum,1
ESPORTSTMNT05/1520634,LEC,Summer,0,1,10.12,G2 Esports,Fnatic,Thresh,Ezreal,Orianna,Olaf,Volibear,Syndra,Varus,Rek'Sai,Trundle,Gragas,Mordekaiser,Pantheon,Twisted Fate,Kalista,Nautilus,Ornn,Graves,Galio,Aphelios,Tahm Kench,1
ESPORTSTMNT02/1394880,CBLOL,Split 2,0,1,10.12,FURIA Esports,Vivo Keyd,LeBlanc,Ezreal,Wukong,Twisted Fate,Olaf,Senna,Varus,Azir,Renekton,Nautilus,Gangplank,Sett,Orianna,Aphelios,Tahm Kench,Aatrox,Volibear,Syndra,Ashe,Thresh,1
ESPORTSTMNT02/1394883,LLA,Closing,0,1,10.12,Azules Esports,Infinity Esports,Senna,Sett,Karma,Wukong,Orianna,Zoe,Syndra,Varus,Galio,Twisted Fate,Gangplank,Jarvan IV,Azir,Kalista,Thresh,Renekton,Trundle,Ekko,Aphelios,Tahm Kench,1
ESPORTSTMNT02/1385018,LCS,Summer,0,1,10.12,Counter Logic Gaming,100 Thieves,Yuumi,Olaf,Thresh,Akali,LeBlanc,Varus,Syndra,Twisted Fate,Bard,Karma,Aatrox,Trundle,Orianna,Ezreal,Rakan,Renekton,Volibear,Azir,Aphelios,Braum,1
ESPORTSTMNT02/1394891,LLA,Closing,0,1,10.12,Furious Gaming,Isurus,Sett,Kalista,Thresh,Lee Sin,Jarvan IV,Varus,Syndra,Trundle,Irelia,Orianna,Camille,Volibear,Galio,Aphelios,Lulu,Aatrox,Ekko,Corki,Ezreal,Karma,1
ESPORTSTMNT02/1385035,LCS,Summer,0,1,10.12,Team SoloMid,Evil Geniuses,Yuumi,Twisted Fate,Kalista,Kassadin,Sett,Varus,Syndra,Ornn,Zilean,Fiddlesticks,Shen,Kindred,LeBlanc,Aphelios,Braum,Volibear,Graves,Karma,Ezreal,Bard,1
ESPORTSTMNT02/1394913,LLA,Closing,0,1,10.12,Rainbow7,XTEN Esports,Pantheon,Elise,Yuumi,Gangplank,Fiddlesticks,Varus,Zoe,Syndra,LeBlanc,Ornn,Aatrox,Sett,Azir,Aphelios,Karma,Wukong,Jarvan IV,Orianna,Ezreal,Thresh,1
ESPORTSTMNT02/1385056,LCS,Summer,0,1,10.12,Dignitas,Team Liquid,Syndra,Kalista,Trundle,Aatrox,Gangplank,Volibear,Varus,Yuumi,LeBlanc,Orianna,Ornn,Olaf,Karma,Aphelios,Thresh,Jayce,Lee Sin,Twisted Fate,Cassiopeia,Blitzcrank,0
ESPORTSTMNT02/1394933,LLA,Closing,0,1,10.12,Pixel Esports Club,All Knights,Karma,Kalista,Trundle,Gangplank,Mordekaiser,Varus,Ziggs,Sett,Renekton,Thresh,Ornn,Lee Sin,Syndra,Aphelios,Lulu,Aatrox,Pantheon,Ekko,Ezreal,Bard,0
ESPORTSTMNT02/1385065,LCS,Summer,0,1,10.12,Immortals,Golden Guardians,Karma,Kalista,Syndra,Leona,Lulu,Varus,Yuumi,Urgot,Aatrox,Olaf,Malphite,Trundle,Orianna,Ezreal,Rakan,Mordekaiser,Volibear,Twisted Fate,Aphelios,Thresh,1
ESPORTSTMNT02/1394969,LJL,Summer,0,1,10.12,Fukuoka SoftBank Hawks gaming,Burning Core,Ekko,Kindred,Graves,Darius,Mordekaiser,Syndra,Zoe,Varus,Twisted Fate,LeBlanc,Wukong,Trundle,Galio,Aphelios,Thresh,Maokai,Lee Sin,Sett,Ashe,Blitzcrank,1
6343-8111,LDL,Summer,0,1,10.12,eStar Young,Team WE Academy,Trundle,Zoe,Varus,LeBlanc,Renekton,Nidalee,Olaf,Taliyah,Karma,Twisted Fate,Wukong,Graves,Sett,Kai'Sa,Nautilus,Mordekaiser,Lee Sin,Galio,Ezreal,Yuumi,0
ESPORTSTMNT02/1394986,LJL,Summer,0,1,10.12,Fukuoka SoftBank Hawks gaming,V3 Esports,Karma,Yuumi,Graves,Zoe,Pantheon,Syndra,Varus,Kassadin,Ornn,LeBlanc,Wukong,Trundle,Vladimir,Aphelios,Thresh,Volibear,Nidalee,Galio,Kalista,Sett,0
6343-8112,LDL,Summer,0,2,10.12,eStar Young,Team WE Academy,Trundle,Zoe,Varus,LeBlanc,Mordekaiser,Nidalee,Olaf,Taliyah,Kassadin,Twisted Fate,Wukong,Graves,Fiddlesticks,Sivir,Karma,Renekton,Lee Sin,Syndra,Ezreal,Yuumi,1
ESPORTSTMNT02/1394997,LJL,Summer,0,1,10.12,DetonatioN FocusMe,V3 Esports,Kalista,Galio,Sett,Syndra,Ornn,Varus,Nidalee,Trundle,Renekton,Kayle,Wukong,Pantheon,Twisted Fate,Ashe,Tahm Kench,Maokai,Lee Sin,LeBlanc,Aphelios,Thresh,0
6343-8113,LDL,Summer,0,3,10.12,eStar Young,Team WE Academy,Trundle,Zoe,Varus,LeBlanc,Mordekaiser,Graves,Nidalee,Taliyah,Ekko,Karthus,Wukong,Olaf,Twisted Fate,Sivir,Nautilus,Ornn,Lee Sin,Karma,Ezreal,Leona,1
6345-8114,LDL,Summer,0,1,10.12,Dominus Esports Young,Legend Esport Gaming,Nidalee,Zoe,Syndra,Elise,Yasuo,Ekko,Wukong,Kalista,Karma,Poppy,Ornn,Karthus,Pantheon,Varus,Tahm Kench,Renekton,Kayn,Galio,Ezreal,Thresh,1
ESPORTSTMNT02/1385131,LCK,Summer,0,1,10.12,Afreeca Freecs,DRX,Yuumi,Nidalee,Sett,Wukong,Aatrox,Varus,Kalista,Poppy,Jayce,Lulu,Mordekaiser,Trundle,Twisted Fate,Aphelios,Nautilus,Karma,Lee Sin,Morgana,Ezreal,Braum,0
6344-8116,LDL,Summer,0,1,10.12,All Combo,Royal Club,Elise,Thresh,Trundle,Ezreal,Kalista,Varus,Nidalee,Aphelios,Qiyana,Pantheon,Wukong,Ekko,Renekton,Xayah,Nautilus,Jax,Jarvan IV,Zoe,Kai'Sa,Sett,1
6345-8115,LDL,Summer,0,2,10.12,Legend Esport Gaming,Dominus Esports Young,Ekko,Pantheon,Karthus,Nocturne,Qiyana,Nidalee,Zoe,Syndra,Gragas,Elise,Yasuo,Taliyah,Renekton,Varus,Braum,Volibear,Sylas,Sett,Sivir,Yuumi,0
ESPORTSTMNT02/1395023,LJL,Summer,0,1,10.12,Burning Core,DetonatioN FocusMe,Ziggs,Volibear,Thresh,Elise,Bard,Kalista,Sett,Karma,Darius,Lulu,Jayce,Ekko,Galio,Varus,Pantheon,Renekton,Trundle,Twisted Fate,Ezreal,Tahm Kench,0
ESPORTSTMNT02/1395025,PCS,Summer,0,1,10.12,Berjaya Dragons,Hong Kong Attitude,Varus,Zoe,Yuumi,LeBlanc,Jayce,Syndra,Karma,Ezreal,Ornn,Mordekaiser,Renekton,Trundle,Twisted Fate,Miss Fortune,Nautilus,Wukong,Lee Sin,Orianna,Aphelios,Thresh,0
